"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Apr 18 12:48:04 GMT 2023","Tue Apr 18 12:48:07 GMT 2023","3297","Test","test_cases","TestConduit","","","test_login",""
"passed","Tue Apr 18 12:48:08 GMT 2023","Tue Apr 18 12:48:18 GMT 2023","9653","Test","test_cases","TestConduit","","","test_data_list",""
"passed","Tue Apr 18 12:48:46 GMT 2023","Tue Apr 18 12:48:51 GMT 2023","4465","Test","test_cases","TestConduit","","","test_modification_of_existing_username",""
"passed","Tue Apr 18 12:48:19 GMT 2023","Tue Apr 18 12:48:24 GMT 2023","5349","Test","test_cases","TestConduit","","","test_all_pages",""
"passed","Tue Apr 18 12:49:21 GMT 2023","Tue Apr 18 12:49:24 GMT 2023","3316","Test","test_cases","TestConduit","","","test_logout",""
"passed","Tue Apr 18 12:47:57 GMT 2023","Tue Apr 18 12:48:03 GMT 2023","5537","Test","test_cases","TestConduit","","","test_registration",""
"passed","Tue Apr 18 12:47:56 GMT 2023","Tue Apr 18 12:47:56 GMT 2023","313","Test","test_cases","TestConduit","","","test_cookies",""
"passed","Tue Apr 18 12:49:17 GMT 2023","Tue Apr 18 12:49:20 GMT 2023","3422","Test","test_cases","TestConduit","","","test_save_data_to_csv",""
"passed","Tue Apr 18 12:48:25 GMT 2023","Tue Apr 18 12:48:32 GMT 2023","6719","Test","test_cases","TestConduit","","","test_new_article",""
"passed","Tue Apr 18 12:48:33 GMT 2023","Tue Apr 18 12:48:45 GMT 2023","12122","Test","test_cases","TestConduit","","","test_import_datas_from_csv",""
"passed","Tue Apr 18 12:48:52 GMT 2023","Tue Apr 18 12:49:15 GMT 2023","23757","Test","test_cases","TestConduit","","","test_delete_data",""
