"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Apr 13 08:16:07 GMT 2023","Thu Apr 13 08:16:16 GMT 2023","8773","Test","test_cases","TestConduit","","","test_delete_data",""
"passed","Thu Apr 13 08:15:30 GMT 2023","Thu Apr 13 08:15:36 GMT 2023","5314","Test","test_cases","TestConduit","","","test_all_pages",""
"passed","Thu Apr 13 08:15:59 GMT 2023","Thu Apr 13 08:16:06 GMT 2023","6729","Test","test_cases","TestConduit","","","test_modification_of_existing_username",""
"passed","Thu Apr 13 08:14:57 GMT 2023","Thu Apr 13 08:15:02 GMT 2023","5349","Test","test_cases","TestConduit","","","test_registration",""
"passed","Thu Apr 13 08:16:17 GMT 2023","Thu Apr 13 08:16:21 GMT 2023","3412","Test","test_cases","TestConduit","","","test_save_data_to_csv",""
"passed","Thu Apr 13 08:16:22 GMT 2023","Thu Apr 13 08:16:25 GMT 2023","3282","Test","test_cases","TestConduit","","","test_logout",""
"passed","Thu Apr 13 08:14:54 GMT 2023","Thu Apr 13 08:14:56 GMT 2023","2177","Test","test_cases","TestConduit","","","test_cookies",""
"passed","Thu Apr 13 08:15:19 GMT 2023","Thu Apr 13 08:15:29 GMT 2023","9637","Test","test_cases","TestConduit","","","test_data_list2",""
"passed","Thu Apr 13 08:15:37 GMT 2023","Thu Apr 13 08:15:44 GMT 2023","6706","Test","test_cases","TestConduit","","","test_new_article",""
"passed","Thu Apr 13 08:15:04 GMT 2023","Thu Apr 13 08:15:07 GMT 2023","3276","Test","test_cases","TestConduit","","","test_login",""
"passed","Thu Apr 13 08:15:08 GMT 2023","Thu Apr 13 08:15:18 GMT 2023","9649","Test","test_cases","TestConduit","","","test_data_list",""
"passed","Thu Apr 13 08:15:45 GMT 2023","Thu Apr 13 08:15:58 GMT 2023","12804","Test","test_cases","TestConduit","","","test_import_datas_from_csv",""
