"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Apr 12 19:56:16 GMT 2023","Wed Apr 12 19:56:23 GMT 2023","6786","Test","test_cases","TestConduit","","","test_new_article",""
"passed","Wed Apr 12 19:55:50 GMT 2023","Wed Apr 12 19:55:54 GMT 2023","4410","Test","test_cases","TestConduit","","","test_registration",""
"passed","Wed Apr 12 19:56:37 GMT 2023","Wed Apr 12 19:56:44 GMT 2023","6862","Test","test_cases","TestConduit","","","test_modification_of_existing_username",""
"passed","Wed Apr 12 19:55:58 GMT 2023","Wed Apr 12 19:56:08 GMT 2023","9710","Test","test_cases","TestConduit","","","test_data_list",""
"passed","Wed Apr 12 19:55:56 GMT 2023","Wed Apr 12 19:55:57 GMT 2023","1271","Test","test_cases","TestConduit","","","test_login",""
"passed","Wed Apr 12 19:56:09 GMT 2023","Wed Apr 12 19:56:15 GMT 2023","5343","Test","test_cases","TestConduit","","","test_all_pages",""
"passed","Wed Apr 12 19:56:24 GMT 2023","Wed Apr 12 19:56:36 GMT 2023","12232","Test","test_cases","TestConduit","","","test_import_datas_from_csv",""
"passed","Wed Apr 12 19:56:45 GMT 2023","Wed Apr 12 19:56:54 GMT 2023","8876","Test","test_cases","TestConduit","","","test_delete_data",""
"passed","Wed Apr 12 19:57:00 GMT 2023","Wed Apr 12 19:57:04 GMT 2023","3321","Test","test_cases","TestConduit","","","test_logout",""
"passed","Wed Apr 12 19:56:56 GMT 2023","Wed Apr 12 19:56:59 GMT 2023","3458","Test","test_cases","TestConduit","","","test_save_data_to_csv",""
"passed","Wed Apr 12 19:55:47 GMT 2023","Wed Apr 12 19:55:49 GMT 2023","2190","Test","test_cases","TestConduit","","","test_cookies",""
