"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Apr 08 17:17:25 GMT 2023","Sat Apr 08 17:17:30 GMT 2023","4843","Test","test_cases","TestConduit","","","test_new_article",""
"passed","Sat Apr 08 17:17:55 GMT 2023","Sat Apr 08 17:17:58 GMT 2023","3305","Test","test_cases","TestConduit","","","test_logout",""
"passed","Sat Apr 08 17:17:20 GMT 2023","Sat Apr 08 17:17:24 GMT 2023","3341","Test","test_cases","TestConduit","","","test_all_pages",""
"passed","Sat Apr 08 17:17:09 GMT 2023","Sat Apr 08 17:17:19 GMT 2023","9686","Test","test_cases","TestConduit","","","test_data_list",""
"passed","Sat Apr 08 17:17:07 GMT 2023","Sat Apr 08 17:17:08 GMT 2023","1267","Test","test_cases","TestConduit","","","test_login",""
"passed","Sat Apr 08 17:17:35 GMT 2023","Sat Apr 08 17:17:42 GMT 2023","6814","Test","test_cases","TestConduit","","","test_modification_of_existing_username",""
"passed","Sat Apr 08 17:16:58 GMT 2023","Sat Apr 08 17:17:00 GMT 2023","2179","Test","test_cases","TestConduit","","","test_cookies",""
"broken","Sat Apr 08 17:17:31 GMT 2023","Sat Apr 08 17:17:34 GMT 2023","3240","Test","test_cases","TestConduit","","","test_import_datas_from_csv",""
"broken","Sat Apr 08 17:17:43 GMT 2023","Sat Apr 08 17:17:49 GMT 2023","5795","Test","test_cases","TestConduit","","","test_delete_data",""
"passed","Sat Apr 08 17:17:50 GMT 2023","Sat Apr 08 17:17:54 GMT 2023","3413","Test","test_cases","TestConduit","","","test_save_data_to_csv",""
"passed","Sat Apr 08 17:17:01 GMT 2023","Sat Apr 08 17:17:06 GMT 2023","4393","Test","test_cases","TestConduit","","","test_registration",""
