"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Apr 12 16:29:30 GMT 2023","Wed Apr 12 16:29:37 GMT 2023","6674","Test","test_cases","TestConduit","","","test_new_article",""
"broken","Wed Apr 12 16:29:38 GMT 2023","Wed Apr 12 16:29:41 GMT 2023","3229","Test","test_cases","TestConduit","","","test_import_datas_from_csv",""
"passed","Wed Apr 12 16:29:13 GMT 2023","Wed Apr 12 16:29:23 GMT 2023","9638","Test","test_cases","TestConduit","","","test_data_list",""
"passed","Wed Apr 12 16:29:24 GMT 2023","Wed Apr 12 16:29:29 GMT 2023","5322","Test","test_cases","TestConduit","","","test_all_pages",""
"passed","Wed Apr 12 16:29:43 GMT 2023","Wed Apr 12 16:29:49 GMT 2023","6756","Test","test_cases","TestConduit","","","test_modification_of_existing_username",""
"passed","Wed Apr 12 16:29:05 GMT 2023","Wed Apr 12 16:29:09 GMT 2023","4369","Test","test_cases","TestConduit","","","test_registration",""
"passed","Wed Apr 12 16:29:10 GMT 2023","Wed Apr 12 16:29:12 GMT 2023","1256","Test","test_cases","TestConduit","","","test_login",""
"passed","Wed Apr 12 16:29:01 GMT 2023","Wed Apr 12 16:29:04 GMT 2023","2174","Test","test_cases","TestConduit","","","test_cookies",""
"passed","Wed Apr 12 16:30:01 GMT 2023","Wed Apr 12 16:30:04 GMT 2023","3303","Test","test_cases","TestConduit","","","test_logout",""
"passed","Wed Apr 12 16:29:51 GMT 2023","Wed Apr 12 16:30:00 GMT 2023","8818","Test","test_cases","TestConduit","","","test_delete_data",""
