"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Apr 13 17:45:54 GMT 2023","Thu Apr 13 17:46:17 GMT 2023","23672","Test","test_cases","TestConduit","","","test_delete_data",""
"passed","Thu Apr 13 17:45:48 GMT 2023","Thu Apr 13 17:45:52 GMT 2023","4432","Test","test_cases","TestConduit","","","test_modification_of_existing_username",""
"passed","Thu Apr 13 17:46:23 GMT 2023","Thu Apr 13 17:46:27 GMT 2023","3291","Test","test_cases","TestConduit","","","test_logout",""
"passed","Thu Apr 13 17:44:57 GMT 2023","Thu Apr 13 17:45:02 GMT 2023","5340","Test","test_cases","TestConduit","","","test_registration",""
"passed","Thu Apr 13 17:45:34 GMT 2023","Thu Apr 13 17:45:47 GMT 2023","12876","Test","test_cases","TestConduit","","","test_import_datas_from_csv",""
"passed","Thu Apr 13 17:45:08 GMT 2023","Thu Apr 13 17:45:18 GMT 2023","9619","Test","test_cases","TestConduit","","","test_data_list",""
"passed","Thu Apr 13 17:45:04 GMT 2023","Thu Apr 13 17:45:07 GMT 2023","3285","Test","test_cases","TestConduit","","","test_login",""
"passed","Thu Apr 13 17:44:53 GMT 2023","Thu Apr 13 17:44:56 GMT 2023","2173","Test","test_cases","TestConduit","","","test_cookies",""
"passed","Thu Apr 13 17:45:19 GMT 2023","Thu Apr 13 17:45:25 GMT 2023","5305","Test","test_cases","TestConduit","","","test_all_pages",""
"passed","Thu Apr 13 17:46:19 GMT 2023","Thu Apr 13 17:46:22 GMT 2023","3408","Test","test_cases","TestConduit","","","test_save_data_to_csv",""
"passed","Thu Apr 13 17:45:26 GMT 2023","Thu Apr 13 17:45:33 GMT 2023","6663","Test","test_cases","TestConduit","","","test_new_article",""
