"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Apr 14 10:13:58 GMT 2023","Fri Apr 14 10:13:58 GMT 2023","255","Test","test_cases","TestConduit","","","test_cookies",""
"passed","Fri Apr 14 10:14:00 GMT 2023","Fri Apr 14 10:14:05 GMT 2023","5497","Test","test_cases","TestConduit","","","test_registration",""
"passed","Fri Apr 14 10:15:23 GMT 2023","Fri Apr 14 10:15:27 GMT 2023","3582","Test","test_cases","TestConduit","","","test_save_data_to_csv",""
"passed","Fri Apr 14 10:15:28 GMT 2023","Fri Apr 14 10:15:31 GMT 2023","3412","Test","test_cases","TestConduit","","","test_logout",""
"passed","Fri Apr 14 10:14:58 GMT 2023","Fri Apr 14 10:15:22 GMT 2023","23996","Test","test_cases","TestConduit","","","test_delete_data",""
"passed","Fri Apr 14 10:14:06 GMT 2023","Fri Apr 14 10:14:10 GMT 2023","3402","Test","test_cases","TestConduit","","","test_login",""
"passed","Fri Apr 14 10:14:22 GMT 2023","Fri Apr 14 10:14:27 GMT 2023","5462","Test","test_cases","TestConduit","","","test_all_pages",""
"passed","Fri Apr 14 10:14:52 GMT 2023","Fri Apr 14 10:14:57 GMT 2023","4648","Test","test_cases","TestConduit","","","test_modification_of_existing_username",""
"passed","Fri Apr 14 10:14:37 GMT 2023","Fri Apr 14 10:14:51 GMT 2023","13832","Test","test_cases","TestConduit","","","test_import_datas_from_csv",""
"passed","Fri Apr 14 10:14:11 GMT 2023","Fri Apr 14 10:14:21 GMT 2023","9908","Test","test_cases","TestConduit","","","test_data_list",""
"passed","Fri Apr 14 10:14:29 GMT 2023","Fri Apr 14 10:14:36 GMT 2023","7012","Test","test_cases","TestConduit","","","test_new_article",""
