"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Apr 12 16:07:35 GMT 2023","Wed Apr 12 16:07:37 GMT 2023","2377","Test","test_cases","TestConduit","","","test_cookies",""
"passed","Wed Apr 12 16:08:27 GMT 2023","Wed Apr 12 16:08:36 GMT 2023","9003","Test","test_cases","TestConduit","","","test_delete_data",""
"passed","Wed Apr 12 16:07:48 GMT 2023","Wed Apr 12 16:07:58 GMT 2023","9827","Test","test_cases","TestConduit","","","test_data_list",""
"passed","Wed Apr 12 16:08:19 GMT 2023","Wed Apr 12 16:08:26 GMT 2023","6947","Test","test_cases","TestConduit","","","test_modification_of_existing_username",""
"broken","Wed Apr 12 16:08:14 GMT 2023","Wed Apr 12 16:08:18 GMT 2023","3308","Test","test_cases","TestConduit","","","test_import_datas_from_csv",""
"passed","Wed Apr 12 16:07:39 GMT 2023","Wed Apr 12 16:07:44 GMT 2023","4666","Test","test_cases","TestConduit","","","test_registration",""
"passed","Wed Apr 12 16:07:45 GMT 2023","Wed Apr 12 16:07:46 GMT 2023","1339","Test","test_cases","TestConduit","","","test_login",""
"passed","Wed Apr 12 16:08:06 GMT 2023","Wed Apr 12 16:08:13 GMT 2023","6868","Test","test_cases","TestConduit","","","test_new_article",""
"passed","Wed Apr 12 16:08:38 GMT 2023","Wed Apr 12 16:08:41 GMT 2023","3370","Test","test_cases","TestConduit","","","test_logout",""
"passed","Wed Apr 12 16:07:59 GMT 2023","Wed Apr 12 16:08:04 GMT 2023","5401","Test","test_cases","TestConduit","","","test_all_pages",""
