"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Apr 10 16:17:44 GMT 2023","Mon Apr 10 16:17:47 GMT 2023","3304","Test","test_cases","TestConduit","","","test_logout",""
"passed","Mon Apr 10 16:17:26 GMT 2023","Mon Apr 10 16:17:27 GMT 2023","1252","Test","test_cases","TestConduit","","","test_login",""
"passed","Mon Apr 10 16:17:20 GMT 2023","Mon Apr 10 16:17:25 GMT 2023","4801","Test","test_cases","TestConduit","","","test_registration",""
"passed","Mon Apr 10 16:17:16 GMT 2023","Mon Apr 10 16:17:19 GMT 2023","2580","Test","test_cases","TestConduit","","","test_cookies",""
"passed","Mon Apr 10 16:17:29 GMT 2023","Mon Apr 10 16:17:35 GMT 2023","6683","Test","test_cases","TestConduit","","","test_new_article",""
"broken","Mon Apr 10 16:17:37 GMT 2023","Mon Apr 10 16:17:42 GMT 2023","5730","Test","test_cases","TestConduit","","","test_delete_data",""
