"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Apr 16 11:09:05 GMT 2023","Sun Apr 16 11:09:10 GMT 2023","5582","Test","test_cases","TestConduit","","","test_registration",""
"passed","Sun Apr 16 11:09:41 GMT 2023","Sun Apr 16 11:09:56 GMT 2023","14377","Test","test_cases","TestConduit","","","test_import_datas_from_csv",""
"passed","Sun Apr 16 11:09:16 GMT 2023","Sun Apr 16 11:09:26 GMT 2023","9826","Test","test_cases","TestConduit","","","test_data_list",""
"passed","Sun Apr 16 11:09:03 GMT 2023","Sun Apr 16 11:09:03 GMT 2023","278","Test","test_cases","TestConduit","","","test_cookies",""
"passed","Sun Apr 16 11:09:27 GMT 2023","Sun Apr 16 11:09:32 GMT 2023","5370","Test","test_cases","TestConduit","","","test_all_pages",""
"passed","Sun Apr 16 11:10:02 GMT 2023","Sun Apr 16 11:10:26 GMT 2023","23902","Test","test_cases","TestConduit","","","test_delete_data",""
"passed","Sun Apr 16 11:09:57 GMT 2023","Sun Apr 16 11:10:01 GMT 2023","4556","Test","test_cases","TestConduit","","","test_modification_of_existing_username",""
"passed","Sun Apr 16 11:10:28 GMT 2023","Sun Apr 16 11:10:31 GMT 2023","3483","Test","test_cases","TestConduit","","","test_save_data_to_csv",""
"passed","Sun Apr 16 11:09:11 GMT 2023","Sun Apr 16 11:09:15 GMT 2023","3364","Test","test_cases","TestConduit","","","test_login",""
"passed","Sun Apr 16 11:09:33 GMT 2023","Sun Apr 16 11:09:40 GMT 2023","6857","Test","test_cases","TestConduit","","","test_new_article",""
"passed","Sun Apr 16 11:10:32 GMT 2023","Sun Apr 16 11:10:36 GMT 2023","3384","Test","test_cases","TestConduit","","","test_logout",""
