"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Apr 14 07:24:39 GMT 2023","Fri Apr 14 07:24:42 GMT 2023","3266","Test","test_cases","TestConduit","","","test_login",""
"passed","Fri Apr 14 07:24:54 GMT 2023","Fri Apr 14 07:24:59 GMT 2023","5309","Test","test_cases","TestConduit","","","test_all_pages",""
"passed","Fri Apr 14 07:24:29 GMT 2023","Fri Apr 14 07:24:32 GMT 2023","2168","Test","test_cases","TestConduit","","","test_cookies",""
"passed","Fri Apr 14 07:25:52 GMT 2023","Fri Apr 14 07:25:55 GMT 2023","3398","Test","test_cases","TestConduit","","","test_save_data_to_csv",""
"passed","Fri Apr 14 07:25:56 GMT 2023","Fri Apr 14 07:26:00 GMT 2023","3276","Test","test_cases","TestConduit","","","test_logout",""
"passed","Fri Apr 14 07:24:33 GMT 2023","Fri Apr 14 07:24:38 GMT 2023","5340","Test","test_cases","TestConduit","","","test_registration",""
"passed","Fri Apr 14 07:25:27 GMT 2023","Fri Apr 14 07:25:51 GMT 2023","23665","Test","test_cases","TestConduit","","","test_delete_data",""
"passed","Fri Apr 14 07:25:21 GMT 2023","Fri Apr 14 07:25:26 GMT 2023","4429","Test","test_cases","TestConduit","","","test_modification_of_existing_username",""
"passed","Fri Apr 14 07:25:08 GMT 2023","Fri Apr 14 07:25:20 GMT 2023","12240","Test","test_cases","TestConduit","","","test_import_datas_from_csv",""
"passed","Fri Apr 14 07:25:00 GMT 2023","Fri Apr 14 07:25:07 GMT 2023","6658","Test","test_cases","TestConduit","","","test_new_article",""
"passed","Fri Apr 14 07:24:43 GMT 2023","Fri Apr 14 07:24:53 GMT 2023","9643","Test","test_cases","TestConduit","","","test_data_list",""
