"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Apr 10 20:09:50 GMT 2023","Mon Apr 10 20:09:57 GMT 2023","6676","Test","test_cases","TestConduit","","","test_new_article",""
"passed","Mon Apr 10 20:09:32 GMT 2023","Mon Apr 10 20:09:42 GMT 2023","9671","Test","test_cases","TestConduit","","","test_data_list",""
"passed","Mon Apr 10 20:10:16 GMT 2023","Mon Apr 10 20:10:19 GMT 2023","3286","Test","test_cases","TestConduit","","","test_logout",""
"passed","Mon Apr 10 20:09:20 GMT 2023","Mon Apr 10 20:09:23 GMT 2023","2431","Test","test_cases","TestConduit","","","test_cookies",""
"passed","Mon Apr 10 20:09:43 GMT 2023","Mon Apr 10 20:09:49 GMT 2023","5328","Test","test_cases","TestConduit","","","test_all_pages",""
"passed","Mon Apr 10 20:09:30 GMT 2023","Mon Apr 10 20:09:31 GMT 2023","1241","Test","test_cases","TestConduit","","","test_login",""
"passed","Mon Apr 10 20:10:06 GMT 2023","Mon Apr 10 20:10:15 GMT 2023","8779","Test","test_cases","TestConduit","","","test_delete_data",""
"passed","Mon Apr 10 20:09:24 GMT 2023","Mon Apr 10 20:09:29 GMT 2023","4614","Test","test_cases","TestConduit","","","test_registration",""
"passed","Mon Apr 10 20:09:58 GMT 2023","Mon Apr 10 20:10:05 GMT 2023","6735","Test","test_cases","TestConduit","","","test_modification_of_existing_username",""
