"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Apr 14 18:14:06 GMT 2023","Fri Apr 14 18:14:18 GMT 2023","12652","Test","test_cases","TestConduit","","","test_import_datas_from_csv",""
"passed","Fri Apr 14 18:13:36 GMT 2023","Fri Apr 14 18:13:39 GMT 2023","3301","Test","test_cases","TestConduit","","","test_login",""
"passed","Fri Apr 14 18:13:51 GMT 2023","Fri Apr 14 18:13:57 GMT 2023","5333","Test","test_cases","TestConduit","","","test_all_pages",""
"passed","Fri Apr 14 18:14:25 GMT 2023","Fri Apr 14 18:14:49 GMT 2023","23767","Test","test_cases","TestConduit","","","test_delete_data",""
"passed","Fri Apr 14 18:14:55 GMT 2023","Fri Apr 14 18:14:58 GMT 2023","3311","Test","test_cases","TestConduit","","","test_logout",""
"passed","Fri Apr 14 18:14:20 GMT 2023","Fri Apr 14 18:14:24 GMT 2023","4488","Test","test_cases","TestConduit","","","test_modification_of_existing_username",""
"passed","Fri Apr 14 18:13:58 GMT 2023","Fri Apr 14 18:14:05 GMT 2023","6748","Test","test_cases","TestConduit","","","test_new_article",""
"passed","Fri Apr 14 18:14:50 GMT 2023","Fri Apr 14 18:14:54 GMT 2023","3448","Test","test_cases","TestConduit","","","test_save_data_to_csv",""
"passed","Fri Apr 14 18:13:29 GMT 2023","Fri Apr 14 18:13:35 GMT 2023","5554","Test","test_cases","TestConduit","","","test_registration",""
"passed","Fri Apr 14 18:13:41 GMT 2023","Fri Apr 14 18:13:50 GMT 2023","9693","Test","test_cases","TestConduit","","","test_data_list",""
"passed","Fri Apr 14 18:13:28 GMT 2023","Fri Apr 14 18:13:28 GMT 2023","266","Test","test_cases","TestConduit","","","test_cookies",""
