"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Apr 14 08:53:04 GMT 2023","Fri Apr 14 08:53:07 GMT 2023","2279","Test","test_cases","TestConduit","","","test_cookies",""
"passed","Fri Apr 14 08:53:44 GMT 2023","Fri Apr 14 08:53:57 GMT 2023","12714","Test","test_cases","TestConduit","","","test_import_datas_from_csv",""
"passed","Fri Apr 14 08:53:30 GMT 2023","Fri Apr 14 08:53:35 GMT 2023","5358","Test","test_cases","TestConduit","","","test_all_pages",""
"passed","Fri Apr 14 08:53:08 GMT 2023","Fri Apr 14 08:53:13 GMT 2023","5523","Test","test_cases","TestConduit","","","test_registration",""
"passed","Fri Apr 14 08:54:04 GMT 2023","Fri Apr 14 08:54:27 GMT 2023","23788","Test","test_cases","TestConduit","","","test_delete_data",""
"passed","Fri Apr 14 08:53:58 GMT 2023","Fri Apr 14 08:54:02 GMT 2023","4488","Test","test_cases","TestConduit","","","test_modification_of_existing_username",""
"passed","Fri Apr 14 08:53:36 GMT 2023","Fri Apr 14 08:53:43 GMT 2023","6757","Test","test_cases","TestConduit","","","test_new_article",""
"passed","Fri Apr 14 08:54:29 GMT 2023","Fri Apr 14 08:54:32 GMT 2023","3452","Test","test_cases","TestConduit","","","test_save_data_to_csv",""
"passed","Fri Apr 14 08:53:19 GMT 2023","Fri Apr 14 08:53:29 GMT 2023","9720","Test","test_cases","TestConduit","","","test_data_list",""
"passed","Fri Apr 14 08:53:14 GMT 2023","Fri Apr 14 08:53:18 GMT 2023","3306","Test","test_cases","TestConduit","","","test_login",""
"passed","Fri Apr 14 08:54:33 GMT 2023","Fri Apr 14 08:54:36 GMT 2023","3314","Test","test_cases","TestConduit","","","test_logout",""
