"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Apr 14 18:52:06 GMT 2023","Fri Apr 14 18:52:13 GMT 2023","6694","Test","test_cases","TestConduit","","","test_new_article",""
"passed","Fri Apr 14 18:51:44 GMT 2023","Fri Apr 14 18:51:48 GMT 2023","3270","Test","test_cases","TestConduit","","","test_login",""
"passed","Fri Apr 14 18:51:37 GMT 2023","Fri Apr 14 18:51:43 GMT 2023","5847","Test","test_cases","TestConduit","","","test_registration",""
"passed","Fri Apr 14 18:52:28 GMT 2023","Fri Apr 14 18:52:33 GMT 2023","4436","Test","test_cases","TestConduit","","","test_modification_of_existing_username",""
"passed","Fri Apr 14 18:52:14 GMT 2023","Fri Apr 14 18:52:27 GMT 2023","13323","Test","test_cases","TestConduit","","","test_import_datas_from_csv",""
"passed","Fri Apr 14 18:51:49 GMT 2023","Fri Apr 14 18:51:58 GMT 2023","9669","Test","test_cases","TestConduit","","","test_data_list",""
"passed","Fri Apr 14 18:53:03 GMT 2023","Fri Apr 14 18:53:06 GMT 2023","3299","Test","test_cases","TestConduit","","","test_logout",""
"passed","Fri Apr 14 18:51:36 GMT 2023","Fri Apr 14 18:51:36 GMT 2023","423","Test","test_cases","TestConduit","","","test_cookies",""
"passed","Fri Apr 14 18:52:58 GMT 2023","Fri Apr 14 18:53:02 GMT 2023","3403","Test","test_cases","TestConduit","","","test_save_data_to_csv",""
"passed","Fri Apr 14 18:52:00 GMT 2023","Fri Apr 14 18:52:05 GMT 2023","5316","Test","test_cases","TestConduit","","","test_all_pages",""
"passed","Fri Apr 14 18:52:34 GMT 2023","Fri Apr 14 18:52:57 GMT 2023","23727","Test","test_cases","TestConduit","","","test_delete_data",""
