"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Apr 08 19:19:51 GMT 2023","Sat Apr 08 19:19:55 GMT 2023","4533","Test","test_cases","TestConduit","","","test_registration",""
"passed","Sat Apr 08 19:19:47 GMT 2023","Sat Apr 08 19:19:49 GMT 2023","2241","Test","test_cases","TestConduit","","","test_cookies",""
"passed","Sat Apr 08 19:19:57 GMT 2023","Sat Apr 08 19:19:58 GMT 2023","1362","Test","test_cases","TestConduit","","","test_login",""
