"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Apr 14 18:28:58 GMT 2023","Fri Apr 14 18:29:07 GMT 2023","9659","Test","test_cases","TestConduit","","","test_data_list",""
"passed","Fri Apr 14 18:28:45 GMT 2023","Fri Apr 14 18:28:46 GMT 2023","177","Test","test_cases","TestConduit","","","test_cookies",""
"passed","Fri Apr 14 18:30:12 GMT 2023","Fri Apr 14 18:30:15 GMT 2023","3307","Test","test_cases","TestConduit","","","test_logout",""
"passed","Fri Apr 14 18:28:47 GMT 2023","Fri Apr 14 18:28:52 GMT 2023","5364","Test","test_cases","TestConduit","","","test_registration",""
"passed","Fri Apr 14 18:29:15 GMT 2023","Fri Apr 14 18:29:22 GMT 2023","6711","Test","test_cases","TestConduit","","","test_new_article",""
"passed","Fri Apr 14 18:29:42 GMT 2023","Fri Apr 14 18:30:06 GMT 2023","23743","Test","test_cases","TestConduit","","","test_delete_data",""
"passed","Fri Apr 14 18:28:53 GMT 2023","Fri Apr 14 18:28:56 GMT 2023","3296","Test","test_cases","TestConduit","","","test_login",""
"passed","Fri Apr 14 18:29:37 GMT 2023","Fri Apr 14 18:29:41 GMT 2023","4455","Test","test_cases","TestConduit","","","test_modification_of_existing_username",""
"passed","Fri Apr 14 18:29:23 GMT 2023","Fri Apr 14 18:29:36 GMT 2023","13043","Test","test_cases","TestConduit","","","test_import_datas_from_csv",""
"passed","Fri Apr 14 18:29:08 GMT 2023","Fri Apr 14 18:29:14 GMT 2023","5330","Test","test_cases","TestConduit","","","test_all_pages",""
"passed","Fri Apr 14 18:30:07 GMT 2023","Fri Apr 14 18:30:11 GMT 2023","3430","Test","test_cases","TestConduit","","","test_save_data_to_csv",""
