"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Apr 14 07:33:12 GMT 2023","Fri Apr 14 07:33:15 GMT 2023","3474","Test","test_cases","TestConduit","","","test_save_data_to_csv",""
"passed","Fri Apr 14 07:32:20 GMT 2023","Fri Apr 14 07:32:27 GMT 2023","6803","Test","test_cases","TestConduit","","","test_new_article",""
"passed","Fri Apr 14 07:31:52 GMT 2023","Fri Apr 14 07:31:57 GMT 2023","5391","Test","test_cases","TestConduit","","","test_registration",""
"passed","Fri Apr 14 07:32:13 GMT 2023","Fri Apr 14 07:32:19 GMT 2023","5362","Test","test_cases","TestConduit","","","test_all_pages",""
"passed","Fri Apr 14 07:32:03 GMT 2023","Fri Apr 14 07:32:12 GMT 2023","9814","Test","test_cases","TestConduit","","","test_data_list",""
"passed","Fri Apr 14 07:32:41 GMT 2023","Fri Apr 14 07:32:46 GMT 2023","4498","Test","test_cases","TestConduit","","","test_modification_of_existing_username",""
"passed","Fri Apr 14 07:32:28 GMT 2023","Fri Apr 14 07:32:40 GMT 2023","12578","Test","test_cases","TestConduit","","","test_import_datas_from_csv",""
"passed","Fri Apr 14 07:33:17 GMT 2023","Fri Apr 14 07:33:20 GMT 2023","3332","Test","test_cases","TestConduit","","","test_logout",""
"passed","Fri Apr 14 07:31:48 GMT 2023","Fri Apr 14 07:31:51 GMT 2023","2193","Test","test_cases","TestConduit","","","test_cookies",""
"passed","Fri Apr 14 07:32:47 GMT 2023","Fri Apr 14 07:33:11 GMT 2023","23822","Test","test_cases","TestConduit","","","test_delete_data",""
"passed","Fri Apr 14 07:31:58 GMT 2023","Fri Apr 14 07:32:01 GMT 2023","3307","Test","test_cases","TestConduit","","","test_login",""
