"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Apr 10 20:02:34 GMT 2023","Mon Apr 10 20:02:38 GMT 2023","4468","Test","test_cases","TestConduit","","","test_registration",""
"passed","Mon Apr 10 20:02:53 GMT 2023","Mon Apr 10 20:02:58 GMT 2023","5312","Test","test_cases","TestConduit","","","test_all_pages",""
"passed","Mon Apr 10 20:02:42 GMT 2023","Mon Apr 10 20:02:52 GMT 2023","9648","Test","test_cases","TestConduit","","","test_data_list",""
"passed","Mon Apr 10 20:03:00 GMT 2023","Mon Apr 10 20:03:06 GMT 2023","6696","Test","test_cases","TestConduit","","","test_new_article",""
"passed","Mon Apr 10 20:02:30 GMT 2023","Mon Apr 10 20:02:32 GMT 2023","2217","Test","test_cases","TestConduit","","","test_cookies",""
"passed","Mon Apr 10 20:02:39 GMT 2023","Mon Apr 10 20:02:41 GMT 2023","1253","Test","test_cases","TestConduit","","","test_login",""
"passed","Mon Apr 10 20:03:07 GMT 2023","Mon Apr 10 20:03:14 GMT 2023","6747","Test","test_cases","TestConduit","","","test_modification_of_existing_username",""
"passed","Mon Apr 10 20:03:15 GMT 2023","Mon Apr 10 20:03:19 GMT 2023","3290","Test","test_cases","TestConduit","","","test_logout",""
